What track are you in?,Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?
Games,6/24/2016 7:03:34,3,5
Games,6/24/2016 7:10:22,3,3
Apps,6/24/2016 7:03:41,3,3
Intro,6/24/2016 7:04:59,4,3
Intro,6/24/2016 7:07:02,4,4
Intro,6/24/2016 7:08:41,4,4
Intro,6/24/2016 7:09:30,4,4
Games,6/24/2016 7:01:03,4,4
Games,6/24/2016 7:02:43,4,4
Games,6/24/2016 7:03:48,4,3
Games,6/24/2016 7:06:04,4,3
Games,6/24/2016 7:06:24,4,4
Apps,6/24/2016 7:01:19,4,4
Apps,6/24/2016 7:01:29,4,4
Apps,6/24/2016 7:02:20,4,4
Apps,6/24/2016 7:03:24,4,3
Apps,6/24/2016 7:03:25,4,4
Apps,6/24/2016 7:03:58,4,2
Apps,6/24/2016 7:06:59,4,3
Apps,6/24/2016 7:07:06,4,4
Apps,6/24/2016 7:08:37,4,4
Apps,6/24/2016 7:08:51,4,3
Intro,6/24/2016 7:01:55,5,3
Intro,6/24/2016 7:03:41,5,3
Intro,6/24/2016 7:06:21,5,4
Intro,6/24/2016 7:07:00,5,4
Games,6/24/2016 7:04:34,5,3
Games,6/24/2016 7:08:15,5,3
Games,6/24/2016 7:12:49,5,4
Apps,6/24/2016 7:03:41,5,3
Apps,6/24/2016 7:03:58,5,4
Apps,6/24/2016 7:04:09,5,3
Apps,6/24/2016 7:04:11,5,3
Apps,6/24/2016 7:05:51,5,4
Apps,6/24/2016 7:06:58,5,4
Apps,6/24/2016 7:07:26,5,3
Apps,6/24/2016 7:08:43,5,3
Apps,6/24/2016 7:18:32,5,4
Apps,6/24/2016 8:22:55,5,3